date,event,category,description
1990-08-02,Gulf War Outbreak,Geopolitical Conflict,Iraq invades Kuwait leading to immediate crude supply disruptions and soaring price volatility.
1997-11-27,OPEC Jakarta Expansion Mistake,OPEC Policy,OPEC raises production quotas right as the Asian Financial Crisis triggers steep demand destruction.
2001-09-11,September 11 Attacks,Geopolitical Shock,Global aviation contractions prompt immediate drops in jet fuel demand and safe-haven market premiums.
2003-03-20,Iraq War Invasion,Geopolitical Conflict,US-led military operations disrupt Middle Eastern supply logistics creating long-term structural risk premiums.
2008-07-11,Global Financial Crisis Peak,Macroeconomic Crisis,Brent hits an all-time record high near $147/bbl before entering an aggressive demand-driven collapse.
2011-02-15,Arab Spring Outbreak & Libya Crisis,Geopolitical Conflict,Civil unrest across MENA regions blocks Libyan sweet crude output triggering structural price spikes.
2014-11-27,OPEC Market Share Price War,OPEC Policy,OPEC maintains production volumes despite rising US shale output shifting the market into a multi-year structural oversupply regime.
2018-11-04,US Iran Sanctions Re-imposition,Geopolitical Shock,Re-imposition of secondary energy trade sanctions curtails Iranian export volumes from international shipping routes.
2020-03-06,OPEC+ Alliance Breakdown,OPEC Policy,Saudi Arabia and Russia fail to agree on volume cuts initiating a temporary market-share price war.
2020-03-11,COVID-19 Pandemic Declaration,Macroeconomic Shock,WHO declares global pandemic status; widespread lockdowns cause unprecedented transport fuel demand collapse.
2022-02-24,Russia-Ukraine War Outbreak,Geopolitical Conflict,Sanctions on Russian energy output prompt massive structural trade reorganizations and multi-year supply premiums.